benchmark,ms (init),SD (init),intraMS (init),intraSD (init),ms (rean),SD (rean),intraMS (rean),intraSD (rean),ms (NoOpt),SD (NoOpt),intraMS (NoOpt),intraSD (NoOpt),ms (CI),SD (CI),intraMS (CI),intraSD (CI),ms (DI),SD (DI),intraMS (DI),intraSD (DI),ms (WI),SD (WI),intraMS (WI),intraSD (WI),ms (CI-DI),SD (CI-DI),intraMS (CI-DI),intraSD (CI-DI),ms (CI-WI),SD (CI-WI),intraMS (CI-WI),intraSD (CI-WI),ms (DI-WI),SD (DI-WI),intraMS (DI-WI),intraSD (DI-WI),ms (CI-DI-WI),SD (CI-DI-WI),intraMS (CI-DI-WI),intraSD (CI-DI-WI)
test/changes/scheme/reinforcingcycles/implicit-paths.scm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test/changes/scheme/ring-rotate.scm,15,2,14,2,15,1,14,1,1,0,27,0,1,0,27,0,1,0,27,0,1,0,27,0,1,0,27,0,1,0,27,0,1,0,27,0,2,5,28,5
test/changes/scheme/sat.scm,2,0,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
test/changes/scheme/satCoarse.scm,2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0
test/changes/scheme/satFine.scm,2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0
test/changes/scheme/satMiddle.scm,2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0
test/changes/scheme/satRem.scm,2,0,1,0,1,0,1,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0
test/changes/scheme/slip-0-to-1.scm,207,10,198,10,262,23,252,22,37,1,317,1,38,3,319,2,38,3,319,3,62,0,341,0,40,3,320,3,33,2,312,2,62,5,340,4,41,0,319,0
test/changes/scheme/slip-1-to-2.scm,283,18,271,17,729,33,707,32,243,13,985,13,251,13,992,13,250,23,991,22,263,12,999,12,237,7,978,7,256,13,992,12,261,13,997,13,255,12,991,12
test/changes/scheme/slip-2-to-3.scm,12612,488,12177,477,12769,515,12339,502,61,3,9281,3,60,1,9280,1,63,7,9283,7,65,3,9283,3,63,4,9284,4,63,0,9281,0,67,4,9284,4,69,3,9286,3
test/changes/scheme/tab-inc.scm,3867,161,3690,154,4248,225,4044,214,1981,48,8870,47,1466,76,8355,74,2085,81,8949,78,2016,80,8848,76,1480,60,8350,58,1232,53,8083,50,1994,76,8806,72,952,18,7849,17
test/changes/scheme/tab.scm,3348,195,3206,187,3380,128,3234,121,718,21,5356,21,529,20,5163,19,723,21,5356,21,805,57,5418,54,536,20,5163,19,366,14,4986,13,793,30,5400,28,379,12,4996,11

